family,multiplier,seed,target_relative,achieved_relative_displacement,l2_perturbation,cos_with_real_drift,cos_with_theta,layer_profile_max_rel_dev,n_layers
shuffled,0.5,2,0.078,0.07799999999996975,3.374024266404567,0.0008899827492347895,6.2944299576566136e-06,6.31494856406789e-13,21
shuffled,1.0,0,0.156,0.1559999999999403,6.74804853280917,0.0007488870151259614,1.1609397910941176e-05,6.31050767196939e-13,21
shuffled,1.0,1,0.156,0.1559999999999399,6.748048532809153,0.0016240417897467434,0.0005062122535973837,6.290523657526137e-13,21
shuffled,1.0,2,0.156,0.1559999999999395,6.748048532809134,0.0008899827492347895,6.2944299576566136e-06,6.31494856406789e-13,21
shuffled,2.0,0,0.312,0.3119999999998806,13.49609706561834,0.0007488870151259614,1.1609397910941176e-05,6.31050767196939e-13,21
shuffled,2.0,1,0.312,0.3119999999998798,13.496097065618306,0.0016240417897467434,0.0005062122535973837,6.290523657526137e-13,21
shuffled,2.0,2,0.312,0.311999999999879,13.496097065618269,0.0008899827492347895,6.2944299576566136e-06,6.31494856406789e-13,21
shuffled,4.0,0,0.624,0.6239999999997612,26.99219413123668,0.0007488870151259614,1.1609397910941176e-05,6.31050767196939e-13,21
shuffled,4.0,1,0.624,0.6239999999997596,26.992194131236612,0.0016240417897467434,0.0005062122535973837,6.290523657526137e-13,21
shuffled,4.0,2,0.624,0.623999999999758,26.992194131236538,0.0008899827492347895,6.2944299576566136e-06,6.31494856406789e-13,21
sign_flipped,0.5,0,0.078,0.0779999999999701,3.3740242664045823,-0.000862378432442107,-0.0010312098219104567,6.354916592954396e-13,21
sign_flipped,0.5,1,0.078,0.0779999999999701,3.3740242664045823,0.0009532133335160047,0.0003552344605262003,6.354916592954396e-13,21
sign_flipped,0.5,2,0.078,0.0779999999999701,3.3740242664045823,0.0005232603512648119,0.00048104862360637165,6.354916592954396e-13,21
sign_flipped,1.0,0,0.156,0.1559999999999402,6.748048532809165,-0.000862378432442107,-0.0010312098219104567,6.354916592954396e-13,21
sign_flipped,1.0,1,0.156,0.1559999999999402,6.748048532809165,0.0009532133335160047,0.0003552344605262003,6.354916592954396e-13,21
sign_flipped,1.0,2,0.156,0.1559999999999402,6.748048532809165,0.0005232603512648119,0.00048104862360637165,6.354916592954396e-13,21
sign_flipped,2.0,0,0.312,0.3119999999998804,13.49609706561833,-0.000862378432442107,-0.0010312098219104567,6.354916592954396e-13,21
sign_flipped,2.0,1,0.312,0.3119999999998804,13.49609706561833,0.0009532133335160047,0.0003552344605262003,6.354916592954396e-13,21
sign_flipped,2.0,2,0.312,0.3119999999998804,13.49609706561833,0.0005232603512648119,0.00048104862360637165,6.354916592954396e-13,21
sign_flipped,4.0,0,0.624,0.6239999999997607,26.99219413123666,-0.000862378432442107,-0.0010312098219104567,6.354916592954396e-13,21
sign_flipped,4.0,1,0.624,0.6239999999997607,26.99219413123666,0.0009532133335160047,0.0003552344605262003,6.354916592954396e-13,21
sign_flipped,4.0,2,0.624,0.6239999999997607,26.99219413123666,0.0005232603512648119,0.00048104862360637165,6.354916592954396e-13,21
real,0.5,0,0.078,0.0779999999999701,3.3740242664045823,0.9999999999995992,0.15141759665844431,6.354916592954396e-13,21
real,1.0,0,0.156,0.1559999999999402,6.748048532809165,0.9999999999995992,0.15141759665844431,6.354916592954396e-13,21
real,2.0,0,0.312,0.3119999999998804,13.49609706561833,0.9999999999995992,0.15141759665844431,6.354916592954396e-13,21
real,4.0,0,0.624,0.6239999999997607,26.99219413123666,0.9999999999995992,0.15141759665844431,6.354916592954396e-13,21
