round,defense,bad_client_num,poison_rate,schedule,attack_active_this_round,tau,alpha,alpha_dirichlet,seed,variant,acc_global,acc_global_raw,acc_personalized,asr_global_targeted,asr_personalized_targeted,asr_unfiltered,asr_paper_benign,asr_paper_malicious,asr_paper_all,asr_paper_filtered_benign,asr_paper_filtered_malicious,asr_paper_filtered_all,asr_paper_frozen_benign,asr_paper_frozen_malicious,asr_paper_frozen_all,mta_personalized,mta_global,mta_personalized_shared,asr_paper_shared_benign,asr_paper_filtered_shared_benign,acc_local_personalized,acc_local_malicious,acc_local_personalized_shared,clean_loss_personalized,clean_loss_global,acc_target_class_personalized,acc_target_class_global,mask_keep_ratio,effective_trim_n,zero_sign_ratio,n_malicious_this_round,rounds_since_last_malicious,n_eval_clients,n_eval_clients_participated_this_round,acc_malicious_own,asr_malicious_own,n_eval_malicious,train_wall_s,eval_wall_s
26,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.21108622620380735,0.12094064949608063,0.35699888017917136,0.015677491601343786,0.08023516237402015,0.0823,0.07916666666666665,0.9973958333333334,0.34151785714285715,0.07710643404952872,0.9972222222222222,0.33999665924172684,,,,0.33999999999999997,0.1935,,,,0.5052083333333333,0.5703125,,2.421670608520508,3.658886016845703,0.19813084112149532,0.04672897196261682,,-1,,0,1,10,1,0.3142497200447929,0.9525475923852184,4,4.221,11.417
28,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.3062709966405375,0.1114221724524076,0.36903695408734605,0.05431131019036954,0.087010078387458,0.08765,0.08541666666666667,0.9973958333333334,0.34598214285714285,0.08511978640295903,0.9972222222222222,0.3457204823513199,,,,0.34940000000000004,0.3015,,,,0.5197916666666667,0.5598958333333334,,2.4098460845947267,2.804794891357422,0.1855140186915888,0.2616822429906542,,-1,,0,3,10,0,0.3143896976483763,0.9524076147816349,4,4.205,11.42
30,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.23180291153415455,0.1270996640537514,0.3810190369540874,0.008958566629339306,0.08689809630459126,0.08754999999999999,0.090625,0.9973958333333334,0.349702380952381,0.09098127257011697,0.9972222222222222,0.3499072581850042,,,,0.36060000000000003,0.2105,,,,0.5291666666666666,0.578125,,2.375466680908203,3.1665776062011717,0.19018691588785047,0.03271028037383177,,-1,,0,1,10,0,0.38045912653975367,0.9708846584546473,4,4.21,11.276
32,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.24972004479283316,0.14333706606942886,0.39238521836506157,0.020156774916013438,0.12312430011198208,0.12104999999999999,0.15,0.9869791666666667,0.38913690476190477,0.15340251293371437,0.9919895893580104,0.39299882048351326,,,,0.37079999999999996,0.228,,,,0.5322916666666667,0.6197916666666667,,2.330583599853516,3.349636993408203,0.19065420560747665,0.04672897196261682,,-1,,1,0,10,1,0.3870380739081747,0.9155935050391937,4,5.478,11.25
34,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.21556550951847708,0.11198208286674127,0.412989921612542,0.0011198208286674132,0.15559910414333705,0.1528,0.1875,0.9895833333333334,0.4166666666666667,0.1913548219046622,0.9919590643274854,0.420098891168326,,,,0.392,0.194,,,,0.5510416666666668,0.6197916666666667,,2.2426171951293945,3.7969402465820314,0.21682242990654205,0.014018691588785047,,-1,,0,2,10,1,0.39543673012318026,0.9742441209406495,4,4.219,11.163
36,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.4428891377379619,0.1371780515117581,0.4431131019036954,0.20996640537513997,0.16562150055991037,0.1627,0.16666666666666669,0.9947916666666667,0.4032738095238096,0.17065568861472843,1.0,0.4076112061533775,,,,0.4213,0.424,,,,0.5843750000000001,0.6145833333333334,,2.137615007019043,2.1455567474365234,0.2392523364485981,0.26635514018691586,,-1,,1,0,10,0,0.4014557670772676,0.9735442329227324,4,5.472,11.304
38,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.4070548712206047,0.11254199328107506,0.4431131019036954,0.37905935050391937,0.16646136618141097,0.16345,0.15625000000000003,0.9791666666666666,0.3913690476190476,0.15895638900553144,0.9839181286549707,0.39465974319108554,,,,0.4213,0.4245,,,,0.5833333333333334,0.6171875,,2.137615007019043,2.0113692779541017,0.2392523364485981,0.5700934579439252,,-1,,0,1,10,0,0.41027435610302354,0.9752239641657335,4,4.213,11.327
40,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.34826427771556556,0.15621500559910417,0.4871780515117581,0.2866741321388578,0.20621500559910416,0.20585,0.2375,0.9817708333333333,0.4501488095238095,0.2330328256909262,0.9814236111111111,0.4468587643824076,,,,0.47095000000000004,0.3615,,,,0.6572916666666666,0.625,,2.042206463623047,2.522902313232422,0.3355140186915887,0.4719626168224299,,-1,,1,0,10,2,0.38843784994400893,0.997060470324748,4,5.41,11.252
42,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.37961926091825304,0.12038073908174696,0.48779395296752515,0.4596864501679731,0.20828667413213883,0.20695000000000002,0.24895833333333334,0.9973958333333334,0.46279761904761907,0.2462450753084202,0.9972222222222222,0.46080997442664934,,,,0.47045000000000003,0.402,,,,0.6458333333333333,0.5416666666666666,,2.0543594894409183,2.1635507049560547,0.32570093457943927,0.5887850467289719,,-1,,0,1,10,0,0.35960246360582304,0.9988801791713325,4,4.242,11.349
44,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.4736842105263158,0.11198208286674127,0.49126539753639414,0.5302351623740201,0.2477043673012318,0.24375,0.2697916666666667,0.9869791666666666,0.474702380952381,0.26627245258291254,0.9866723259762309,0.4721009878381464,,,,0.4742,0.488,,,,0.6541666666666666,0.625,,2.0521258766174317,1.8316533966064452,0.3317757009345794,0.6074766355140186,,-1,,0,1,10,1,0.38465845464725645,0.9966405375139978,4,4.185,11.24
