round,defense,bad_client_num,poison_rate,schedule,attack_active_this_round,tau,alpha,alpha_dirichlet,seed,variant,acc_global,acc_global_raw,acc_personalized,asr_global_targeted,asr_personalized_targeted,asr_unfiltered,asr_paper_benign,asr_paper_malicious,asr_paper_all,asr_paper_filtered_benign,asr_paper_filtered_malicious,asr_paper_filtered_all,asr_paper_frozen_benign,asr_paper_frozen_malicious,asr_paper_frozen_all,mta_personalized,mta_global,clean_loss_personalized,clean_loss_global,acc_target_class_personalized,acc_target_class_global,mask_keep_ratio,effective_trim_n,zero_sign_ratio,n_malicious_this_round,rounds_since_last_malicious,n_eval_clients,n_eval_clients_participated_this_round,acc_malicious_own,asr_malicious_own,n_eval_malicious,train_wall_s,eval_wall_s
22,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.08454647256438974,0.08398656215005595,0.28113101903695414,0.020156774916013438,0.11998880179171334,0.13929999999999998,0.15133928571428573,0.24441964285714285,0.17793367346938777,0.09069840719581425,0.22353258355574634,0.1286510290129377,,,,0.28880000000000006,0.076,2.370282601928711,2.3456898345947264,0.352803738317757,0.004672897196261682,,-1,,1,0,10,2,0.31326987681970886,0.24762038073908177,4,3.926,12.207
24,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.06382978723404253,0.07894736842105265,0.2857782754759239,0.014557670772676373,0.12603583426651738,0.14255,0.15669642857142857,0.15848214285714285,0.15720663265306123,0.10402190064151859,0.14005978990214987,0.1143184404302704,,,,0.29030000000000006,0.057,2.4426179382324222,2.3326585693359374,0.3280373831775701,0.0,,-1,,0,1,10,1,0.33580627099664057,0.15803471444568867,4,2.566,12.367
26,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.09126539753639418,0.09686450167973126,0.3118141097424412,0.04703247480403135,0.09630459126539755,0.1127,0.1285714285714286,0.1138392857142857,0.12436224489795919,0.07625341757434244,0.09994365600035704,0.08302205712463231,,,,0.3097,0.083,2.3650040145874027,2.330443603515625,0.29205607476635514,0.014018691588785047,,-1,,1,0,10,2,0.30459126539753645,0.12164053751399777,4,3.942,12.166
28,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.07222844344904811,0.10694288913773797,0.306047032474804,0.06215005599104143,0.10240761478163493,0.1152,0.12321428571428569,0.2064732142857143,0.14700255102040818,0.07270251353636571,0.18897059244193462,0.10592196465224255,,,,0.30355,0.0665,2.399386784362793,2.3395640716552735,0.2827102803738318,0.018691588785046728,,-1,,0,1,10,2,0.302491601343785,0.19820828667413212,4,3.268,11.971
30,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.10134378499440089,0.10022396416573354,0.319484882418813,0.083986562150056,0.11131019036954089,0.1247,0.1348214285714286,0.3080357142857143,0.18431122448979595,0.08014278855522008,0.287648755145967,0.13943020758114774,,,,0.31795,0.092,2.37240242767334,2.3443067779541016,0.3051401869158878,0.014018691588785047,,-1,,0,1,10,3,0.3426651735722285,0.2868141097424412,4,2.531,12.008
32,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.11086226203807392,0.10190369540873456,0.3429451287793953,0.06326987681970885,0.10128779395296753,0.1156,0.13035714285714284,0.2712053571428572,0.17059948979591835,0.0749224702153823,0.25150752697070844,0.12537534357404692,,,,0.33835000000000004,0.1005,2.325733937072754,2.3388026275634766,0.3,0.014018691588785047,,-1,,1,0,10,1,0.35974244120940646,0.27617581187010076,4,3.983,12.118
34,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.09238521836506164,0.10750279955207165,0.34988801791713325,0.016237402015677492,0.0784434490481523,0.09135,0.1049107142857143,0.3303571428571429,0.16932397959183673,0.04411329935920091,0.3221041635913925,0.1235392605683985,,,,0.3412,0.0825,2.278712733459473,2.343865829467773,0.2686915887850467,0.0,,-1,,1,0,10,3,0.3499440089585666,0.3335666293393057,4,4.047,12.123
36,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.08902575587905937,0.10414333706606937,0.3464165733482642,0.012318029115341545,0.05806270996640537,0.0713,0.08616071428571428,0.2645089285714286,0.13711734693877553,0.02661682169742579,0.24099884766750865,0.08786882911744946,,,,0.33755,0.0795,2.4081883422851567,2.3542843017578123,0.2635514018691589,0.0,,-1,,0,1,10,3,0.3992161254199328,0.25461926091825304,4,2.58,12.201
38,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.07726763717805152,0.10190369540873456,0.33840985442329224,0.010638297872340425,0.10431131019036954,0.11279999999999998,0.12544642857142857,0.32142857142857145,0.18144132653061223,0.08471289465478143,0.30539552359405303,0.14776507435171618,,,,0.33215,0.069,2.5983066329956057,2.372404861450195,0.27990654205607474,0.0,,-1,,1,0,10,3,0.40047592385218367,0.29101343784994405,4,4.041,12.869
40,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.09742441209406494,0.09742441209406494,0.38840985442329223,0.002799552071668533,0.058398656215005604,0.0693,0.08482142857142858,0.3035714285714286,0.14732142857142858,0.028040235305300566,0.2846573419843183,0.10135940864216278,,,,0.37564999999999993,0.087,2.1226920333862305,2.353072006225586,0.2691588785046729,0.0,,-1,,1,0,10,5,0.3894176931690929,0.26847704367301234,4,4.046,12.066
42,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.0879059350503919,0.08678611422172455,0.40677491601343785,0.11646136618141098,0.07418812989921612,0.08754999999999999,0.10357142857142856,0.5558035714285715,0.23278061224489796,0.04259475281336893,0.5566941298609089,0.18948028911266607,,,,0.39749999999999996,0.0795,2.0226453979492187,2.3349116668701173,0.32009345794392524,0.009345794392523364,,-1,,2,0,10,4,0.38549832026875697,0.4806830907054872,4,5.541,12.047
44,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.08566629339305709,0.0828667413213886,0.3829787234042553,0.031914893617021274,0.08975363941769317,0.10444999999999997,0.115625,0.5502232142857143,0.23979591836734698,0.04787732973532657,0.5475900388271523,0.1906523894758482,,,,0.37905,0.0765,2.1964399368286136,2.3472021026611327,0.34626168224299064,0.0,,-1,,1,0,10,3,0.3822788353863382,0.4785834266517357,4,3.987,12.052
46,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.10694288913773797,0.08846584546472569,0.41651735722284433,0.1349384098544233,0.06478163493840985,0.07855,0.10892857142857142,0.6763392857142858,0.2710459183673469,0.046547552168440295,0.6710497835497836,0.22497676113453838,,,,0.40935000000000005,0.0955,1.9971715652465822,2.3407847747802735,0.3495327102803738,0.0,,-1,,2,0,10,3,0.4115341545352743,0.6185610302351624,4,5.467,11.943
48,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.08566629339305709,0.09630459126539759,0.41483762597984325,0.020156774916013438,0.09602463605823068,0.10915,0.1263392857142857,0.6897321428571428,0.28730867346938777,0.0652336964846014,0.6832704046536268,0.24181561310432295,,,,0.40754999999999997,0.0765,1.9664935211181642,2.3392438049316406,0.3467289719626168,0.0,,-1,,0,2,10,1,0.41111422172452405,0.6167413213885778,4,2.553,12.901
50,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.09294512877939531,0.09686450167973126,0.4047032474804032,0.007278835386338186,0.09574468085106382,0.1085,0.12366071428571428,0.875,0.3383290816326531,0.065316582922648,0.8775202419225515,0.2973747712083347,,,,0.3968,0.083,2.1039375595092773,2.345762268066406,0.33084112149532713,0.0,,-1,,1,0,10,1,0.4122340425531915,0.7493001119820829,4,4.423,12.138
52,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.07390817469204924,0.08958566629339304,0.41819708846584547,0.010078387458006719,0.1397536394176932,0.15425,0.17142857142857143,0.8671875,0.3702168367346939,0.11070929278237499,0.8709907632221745,0.32793257005088916,,,,0.41745,0.066,1.910801530456543,2.360803085327148,0.41121495327102797,0.0,,-1,,0,2,10,2,0.43575027995520715,0.812989921612542,4,2.656,12.267
54,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.10078387458006721,0.08566629339305709,0.41511758118701014,0.15509518477043674,0.1452407614781635,0.15689999999999998,0.16875,0.8738839285714286,0.3702168367346939,0.11070299568550926,0.8718965082650618,0.32818685642252426,,,,0.4124,0.09,1.9265900451660154,2.3626948547363282,0.3897196261682243,0.0,,-1,,2,0,10,1,0.3895576707726764,0.8514837625979843,4,5.639,12.192
56,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.08062709966405379,0.07222844344904811,0.4211646136618142,0.27715565509518475,0.15235162374020159,0.16425,0.1754464285714286,0.9241071428571428,0.3893494897959183,0.11498017425134548,0.9360820165639557,0.349580700626377,,,,0.41995000000000005,0.0725,1.8800518692016603,2.365069854736328,0.40981308411214956,0.004672897196261682,,-1,,2,0,10,2,0.35064389697648374,0.7558790593505039,4,5.524,12.238
58,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.09686450167973126,0.08902575587905937,0.4244120940649497,0.1690929451287794,0.18404255319148938,0.19765000000000002,0.20089285714285715,0.9408482142857143,0.41230867346938777,0.14698077845712337,0.9512090213748451,0.37676027643361526,,,,0.4271,0.0865,1.9265395812988282,2.343367202758789,0.44953271028037384,0.0,,-1,,1,0,10,2,0.421612541993281,0.9069148936170213,4,4.03,12.891
60,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.08174692049272114,0.07614781634938406,0.40078387458006715,0.10078387458006718,0.15772676371780514,0.17109999999999997,0.19196428571428573,0.9508928571428572,0.40880102040816324,0.13341072376894791,0.9533171344731959,0.3676696982558759,,,,0.40664999999999996,0.073,2.2506146194458005,2.354051055908203,0.455607476635514,0.0,,-1,,1,0,10,2,0.4105543113101904,0.9119540873460246,4,4.156,12.083
62,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.0699888017917133,0.08510638297872342,0.4284434490481523,0.1444568868980963,0.17676371780515118,0.18765,0.2026785714285714,0.9419642857142857,0.4139030612244898,0.146490796785881,0.9434353921692787,0.3741892526097089,,,,0.42824999999999996,0.0625,2.023033151245117,2.3632666015625,0.4266355140186916,0.0,,-1,,0,2,10,2,0.41125419932810753,0.9115341545352743,4,2.554,12.106
64,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.0727883538633819,0.08230683090705482,0.43241881298992163,0.07222844344904815,0.1595744680851064,0.1733,0.19776785714285713,0.953125,0.4135841836734694,0.1400689214854458,0.9554962837126035,0.37304816783606226,,,,0.43465,0.065,2.038331451416016,2.3572987213134766,0.4532710280373832,0.0,,-1,,0,4,10,2,0.4098544232922733,0.9137737961926091,4,2.686,12.102
66,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.07670772676371784,0.08342665173572228,0.4232362821948488,0.21724524076147816,0.1324188129899216,0.14679999999999999,0.17901785714285715,0.9308035714285715,0.3938137755102041,0.11976717287619387,0.9373728617596855,0.35336879827147716,,,,0.4236,0.0685,2.037165298461914,2.345554702758789,0.4266355140186916,0.0,,-1,,0,1,10,1,0.42609182530795076,0.8793393057110863,4,2.617,12.052
68,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.09294512877939531,0.07670772676371784,0.4379059350503919,0.15733482642777155,0.13695408734602463,0.1528,0.17276785714285714,0.9241071428571429,0.3874362244897959,0.11319042348436745,0.929369395222732,0.34638441540961445,,,,0.43929999999999997,0.083,1.991422625732422,2.340309341430664,0.4509345794392523,0.0,,-1,,0,3,10,1,0.4267917133258679,0.877939529675252,4,2.601,12.172
70,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.10526315789473684,0.08902575587905937,0.4262597984322508,0.1522956326987682,0.1318589025755879,0.14125000000000001,0.1776785714285714,0.9564732142857143,0.40019132653061223,0.11755918586223882,0.9587747392761031,0.3579064868376286,,,,0.42285000000000006,0.094,2.0631890579223633,2.3425298309326172,0.394392523364486,0.0,,-1,,1,0,10,1,0.4372900335946249,0.9021556550951848,4,4.791,12.143
72,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.12150055991041431,0.09238521836506164,0.46976483762597987,0.17581187010078386,0.08796192609182531,0.09675,0.12678571428571425,0.9720982142857143,0.36830357142857145,0.060450967012826394,0.9714293947324044,0.3207305177898487,,,,0.45815,0.1085,1.882492138671875,2.3294541015625,0.361214953271028,0.0,,-1,,1,0,10,0,0.42679171332586785,0.936030235162374,4,4.133,12.048
74,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.07390817469204924,0.08118701007838747,0.45503919372900337,0.22284434490481522,0.09608062709966406,0.10474999999999998,0.12098214285714286,0.9397321428571428,0.3549107142857143,0.06442723724977563,0.9435381329551071,0.31560177887987034,,,,0.44345,0.066,2.0868877601623534,2.3628115844726563,0.34672897196261687,0.0,,-1,,1,0,10,3,0.3996360582306831,0.961646136618141,4,3.983,12.05
76,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.0778275475923852,0.08902575587905937,0.451511758118701,0.3449048152295633,0.07833146696528555,0.08375,0.11160714285714284,0.9397321428571429,0.3482142857142857,0.05996307408847784,0.9466171285758915,0.31329280394202463,,,,0.43499999999999994,0.0695,2.136665298461914,2.359317123413086,0.297196261682243,0.0,,-1,,1,0,10,1,0.4151735722284434,0.9267917133258678,4,4.016,12.102
78,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.05767077267637177,0.08510638297872342,0.48600223964165734,0.3051511758118701,0.12155655095184772,0.13084999999999997,0.1464285714285714,0.9486607142857143,0.37563775510204084,0.08825847040989056,0.9577416347126849,0.33668223163926037,,,,0.47539999999999993,0.0515,1.8540037872314454,2.3739608764648437,0.3869158878504673,0.0,,-1,,1,0,10,2,0.40663493840985443,0.9400895856662934,4,4.049,12.314
80,fedavg,4,0.1,continuous,True,0.2,0.25,0.5,0,fedavg,0.08118701007838747,0.07558790593505038,0.49882418812989926,0.135498320268757,0.1108622620380739,0.12405,0.15580357142857143,0.9475446428571428,0.382015306122449,0.09136652032672019,0.9566785848954966,0.33859853877494206,,,,0.48815,0.0725,1.7861492782592774,2.3574811248779297,0.3990654205607476,0.0,,-1,,0,1,10,1,0.4048152295632699,0.9508678611422172,4,3.331,12.022
