round,defense,bad_client_num,poison_rate,schedule,attack_active_this_round,tau,alpha,alpha_dirichlet,seed,variant,acc_global,acc_global_raw,acc_personalized,asr_global_targeted,asr_personalized_targeted,asr_unfiltered,asr_paper_benign,asr_paper_malicious,asr_paper_all,asr_paper_filtered_benign,asr_paper_filtered_malicious,asr_paper_filtered_all,asr_paper_frozen_benign,asr_paper_frozen_malicious,asr_paper_frozen_all,mta_personalized,mta_global,mta_personalized_shared,asr_paper_shared_benign,asr_paper_filtered_shared_benign,acc_local_personalized,acc_local_malicious,acc_local_personalized_shared,clean_loss_personalized,clean_loss_global,acc_target_class_personalized,acc_target_class_global,mask_keep_ratio,effective_trim_n,zero_sign_ratio,n_malicious_this_round,rounds_since_last_malicious,n_eval_clients,n_eval_clients_participated_this_round,acc_malicious_own,asr_malicious_own,n_eval_malicious,train_wall_s,eval_wall_s
110,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.0621500559910414,0.07390817469204924,0.3113101903695409,0.0005599104143337066,0.08197088465845465,0.08895,0.11041666666666665,0.903125,0.5067708333333333,0.1033030607259275,0.9062810507305358,0.5047920557282317,,,,0.29925,0.0555,0.34730000000000005,0.14895833333333336,0.14392156862745098,0.5843749999999999,0.4989583333333333,0.6427083333333334,2.7623124832153314,2.399531753540039,0.1985981308411215,0.0,,-1,,0,1,10,2,0.27318029115341547,0.9117581187010078,10,1.419,25.896
120,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.08342665173572228,0.07670772676371784,0.3360582306830907,0.0,0.07872340425531915,0.08495,0.11041666666666668,0.8802083333333334,0.49531249999999993,0.10453969545872632,0.8887934750952668,0.4966665852769966,,,,0.3197,0.0745,0.38085,0.140625,0.1353921568627451,0.5531250000000001,0.46875,0.65625,2.614212112426758,2.4165578765869142,0.18317757009345792,0.0,,-1,,2,0,10,0,0.2653975363941769,0.9142777155655095,10,3.286,24.99
130,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.05095184770436734,0.06886898096304594,0.34210526315789475,0.0,0.1166293393057111,0.12255,0.12604166666666666,0.9197916666666666,0.5229166666666666,0.11759367244181287,0.9274955363362443,0.5225446043890286,,,,0.3301,0.0455,0.38075000000000003,0.165625,0.1613462260652613,0.58125,0.5270833333333333,0.6739583333333333,2.437717723083496,2.405767303466797,0.22990654205607478,0.0,,-1,,0,1,10,2,0.3138857782754759,0.9535274356103024,10,1.376,25.804
140,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.06103023516237405,0.08678611422172455,0.35481522956326983,0.0,0.17676371780515118,0.18030000000000002,0.19583333333333336,0.9239583333333334,0.5598958333333334,0.19273431293800516,0.9273746422794575,0.5600544776087314,,,,0.34475,0.0545,0.4013999999999999,0.121875,0.11333501853724301,0.5114583333333333,0.5416666666666667,0.6760416666666667,2.390987910461426,2.4158177032470705,0.26074766355140183,0.0,,-1,,2,0,10,1,0.31842105263157894,0.9394176931690928,10,3.169,25.679
150,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.0543113101903695,0.06942889137737962,0.3536954087346024,0.0,0.193505039193729,0.19829999999999998,0.18437499999999998,0.95,0.5671875000000001,0.18180584025605065,0.9539612102395665,0.5678835252478086,,,,0.34490000000000004,0.0485,0.39785,0.12395833333333332,0.1158341369334619,0.5208333333333333,0.53125,0.6739583333333333,2.341495896911621,2.41708283996582,0.2714953271028037,0.0,,-1,,3,0,10,0,0.2970324748040313,0.9781634938409856,10,4.527,25.607
160,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.05655095184770442,0.06494960806271,0.36058230683090703,0.0,0.09171332586786116,0.0942,0.13020833333333331,0.9489583333333333,0.5395833333333333,0.12688832977684056,0.9516130077856889,0.5392506687812648,,,,0.3423,0.0505,0.39929999999999993,0.12395833333333332,0.11423944155947008,0.5927083333333333,0.5333333333333334,0.7031250000000001,2.540621287536621,2.4226544342041016,0.1897196261682243,0.0,,-1,,1,0,10,1,0.3143337066069429,0.9823628219484883,10,2.33,25.818
170,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.04423292273236279,0.03695408734602468,0.37301231802911533,0.0,0.13023516237402016,0.13825,0.16041666666666668,0.9427083333333334,0.5515625,0.14962910311218186,0.9590560743255988,0.5543425887188904,,,,0.3638,0.0395,0.42715000000000003,0.134375,0.12500921071125523,0.5906250000000001,0.5291666666666667,0.70625,2.3585817932128905,2.430316375732422,0.2869158878504673,0.0,,-1,,1,0,10,2,0.3392497200447928,0.9411534154535275,10,2.211,25.532
180,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.03751399776035835,0.05543113101903696,0.36455767077267637,0.0005599104143337066,0.18729003359462484,0.19629999999999997,0.18645833333333334,0.9729166666666667,0.5796874999999999,0.17911061807524273,0.9837441447401633,0.581427381407703,,,,0.35855,0.0335,0.42190000000000005,0.10937500000000003,0.10038461538461538,0.6041666666666667,0.5,0.6968749999999999,2.602334333801269,2.434306930541992,0.30841121495327106,0.0,,-1,,0,2,10,2,0.3169092945128779,0.9684770436730122,10,1.51,26.147
190,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.043673012318029114,0.06326987681970886,0.39574468085106385,0.0,0.1232922732362822,0.13069999999999998,0.146875,0.9916666666666668,0.5692708333333334,0.1396995760432473,0.9946350949439487,0.567167335493598,,,,0.38029999999999997,0.039,0.43535,0.17604166666666668,0.17286527514231498,0.6052083333333333,0.4885416666666666,0.7104166666666666,2.4290752944946292,2.4457391815185545,0.2514018691588785,0.0,,-1,,3,0,10,0,0.34669652855543115,0.9974804031354984,10,4.217,24.853
200,fedavg,10,0.2,continuous,True,0.2,0.25,0.5,0,fedavg,0.055991041433370636,0.03919372900335949,0.3801791713325867,0.0,0.08706606942889138,0.09190000000000001,0.125,0.9958333333333333,0.5604166666666667,0.11782445153412895,0.9957894736842106,0.5568069626091697,,,,0.36060000000000003,0.05,0.4696999999999999,0.16666666666666669,0.16083553675304071,0.5541666666666667,0.4927083333333333,0.71875,2.7459082946777342,2.444837707519531,0.19719626168224297,0.0,,-1,,0,1,10,2,0.32933930571108616,0.9987681970884659,10,1.895,25.852
