alpha,seed,client_id,is_malicious,n_valid_classes,M_nan_fraction,n_valid_t_columns,A_observable,A_mean_t_variant
1.0,0,56,True,10,0.0,10,1.2632983922958374,-0.6853387951850891
1.0,0,57,False,10,0.0,10,-0.36358991265296936,-1.431671142578125
1.0,0,58,False,9,0.10000000149011612,10,0.28719788789749146,-0.6664651036262512
1.0,0,59,False,10,0.0,10,-0.4345475435256958,-1.5385154485702515
1.0,0,60,False,9,0.10000000149011612,10,-0.2985173463821411,-1.311429738998413
1.0,0,61,True,9,0.10000000149011612,10,1.2642102241516113,-1.2481715679168701
1.0,0,62,False,10,0.0,10,1.9221899509429932,-2.1220712661743164
1.0,0,63,True,10,0.0,10,1.4595470428466797,-0.9983129501342773
1.0,0,64,False,10,0.0,10,-0.48828816413879395,-1.3063993453979492
1.0,0,65,True,9,0.10000000149011612,10,-0.9913196563720703,-2.7117207050323486
1.0,0,66,False,9,0.10000000149011612,10,0.25168561935424805,-2.5798258781433105
1.0,0,67,False,9,0.10000000149011612,10,-0.6149463653564453,-1.818375587463379
1.0,0,68,False,10,0.0,10,-0.8163294792175293,-1.5669286251068115
1.0,0,69,False,10,0.0,10,-0.4518589377403259,-1.3424423933029175
1.0,0,70,False,9,0.10000000149011612,10,-0.057847023010253906,-1.5011829137802124
1.0,0,71,False,10,0.0,10,0.011665046215057373,-1.197243094444275
1.0,0,72,False,10,0.0,10,-0.5321505665779114,-0.994947612285614
1.0,0,73,False,9,0.10000000149011612,10,0.2380533218383789,-1.3967194557189941
1.0,0,74,False,9,0.10000000149011612,10,0.276760458946228,-1.6179978847503662
1.0,0,75,False,10,0.0,10,-1.0927890539169312,-2.5017223358154297
1.0,0,76,False,8,0.20000000298023224,10,0.8682479858398438,-1.022559404373169
1.0,0,77,False,10,0.0,10,-0.02986621856689453,-1.3687360286712646
1.0,0,78,False,10,0.0,10,-0.09273397922515869,-0.950524628162384
1.0,0,79,False,9,0.10000000149011612,10,-0.12470579147338867,-1.4473038911819458
1.0,0,80,False,10,0.0,10,-1.2360175848007202,-2.8643665313720703
1.0,0,81,False,10,0.0,10,-0.7989615797996521,-1.8570127487182617
1.0,0,82,False,9,0.10000000149011612,10,-1.601557970046997,-2.755171298980713
1.0,0,83,False,9,0.10000000149011612,10,-0.3777700662612915,-1.3595908880233765
1.0,0,84,False,10,0.0,10,-0.17850464582443237,-1.192169189453125
1.0,0,85,False,9,0.10000000149011612,10,-0.6552250385284424,-2.482544422149658
1.0,0,86,False,9,0.10000000149011612,10,-0.01677680015563965,-1.5087379217147827
1.0,0,87,False,10,0.0,10,-0.9904642105102539,-1.9298231601715088
1.0,0,88,False,10,0.0,10,-0.42074596881866455,-1.6210304498672485
1.0,0,89,False,10,0.0,10,-0.1001548171043396,-1.1846535205841064
1.0,0,90,False,10,0.0,10,-0.6393210887908936,-1.8097248077392578
1.0,0,91,False,10,0.0,10,-1.7363460063934326,-2.522901773452759
1.0,0,92,False,10,0.0,10,-0.2922716736793518,-1.0251339673995972
