signal,n_benign,n_malicious,benign_mean,benign_std,benign_min,benign_max,malicious_mean,malicious_std,malicious_min,malicious_max,separation_gap,separated,auc,mannwhitney_p,alpha,seed
layer1,90,10,9.677308953815906,0.19458896168065892,9.186515422689862,10.08942323372615,9.586806550673982,0.23556178391954444,9.178675654353635,10.035554232416235,-0.8490388097263732,False,0.37222222222222223,0.18831819793437388,0.5,0
layer2,90,10,18.36940622257549,0.1866402341806513,17.86629053902405,18.716942399095576,18.689931623093674,0.23182176429907164,18.195818628105492,19.048979480981174,-0.5211237709900836,False,0.8788888888888889,9.144291358863703e-05,0.5,0
layer3,90,10,23.078315194910434,0.07464942160677238,22.85710814692159,23.293230321887485,23.228658180893383,0.07803893448597668,23.09918938932245,23.343686225368216,-0.1940409325650343,False,0.9322222222222222,8.053814195248923e-06,0.5,0
layer4,90,10,35.880312872049224,0.08900369449584138,35.702278387070095,36.16240362268638,35.49326060162164,0.08461825568545188,35.39859083536071,35.631712278592076,0.07056610847801892,True,0.0,2.409277994177106e-07,0.5,0
linear,90,10,0.012316691146962256,0.006652546347701699,0.0027554149372464643,0.040657598747290025,0.012183256842597766,0.00787239249717608,0.006107994982828409,0.033610244907020796,-0.03085482996977433,False,0.4855555555555556,0.8857995616013854,0.5,0
bn1,90,10,7.86879003021064,0.008320753201987241,7.84737093147146,7.88548403479767,7.886319643454709,0.012155104674748722,7.870605481056239,7.911790484930683,-0.014878553741430878,False,0.91,2.2961755042653318e-05,1.0,0
conv1,90,10,0.011318100019022122,0.0056571255961026445,0.0037621353046342863,0.03253899827861516,0.011812178034861271,0.005344326244805247,0.0062224158579347,0.024197921044635553,-0.020435785740001267,False,0.5277777777777778,0.778328734172582,1.0,0
layer1,90,10,9.642113641135383,0.11963208788177784,9.372366197186969,9.910821269915486,9.65545264022576,0.2050257967293801,9.252938666896847,9.91844351394654,-0.5460773167595718,False,0.5255555555555556,0.7960069696428962,1.0,0
layer2,90,10,17.995419335413498,0.16745132223674586,17.554907726066375,18.322727447624246,18.317702808623274,0.3009957486304069,17.831005272642738,18.67817788608243,-0.4917221749815077,False,0.8011111111111111,0.0018838114498074502,1.0,0
layer3,90,10,23.114717657142464,0.0556295211472694,22.95586361379302,23.268998130060883,23.232845261021133,0.0420907249435715,23.16977736542837,23.303138332853827,-0.09922076463251273,False,0.9677777777777777,1.3556353171206887e-06,1.0,0
layer4,90,10,35.69848597218819,0.06283453956158605,35.55301587605917,35.88018524957324,35.35972803614838,0.06880602690062143,35.25515879307979,35.48034312829035,0.07267274776882005,True,0.0,2.409277994177106e-07,1.0,0
