alpha,seed,client_id,is_malicious,class_id,is_target_class,numerator,denominator,ratio_J
1.0,0,22,False,6,False,0.9026258619061113,1.2031325964915747,1.0908378366882097
1.0,0,22,False,7,False,1.0348379591654113,1.156680954339165,1.3008423886093716
1.0,0,22,False,8,False,0.9946621725751045,1.2278784319415055,1.1778395820043737
1.0,0,22,False,9,False,1.0917657703340244,1.5067357432729875,1.0535576310214183
1.0,0,23,False,0,True,0.9806886262475139,0.5257072695338538,2.6967872333891254
1.0,0,23,False,1,False,1.0736511554117616,1.5738938062920111,0.9861598049727837
1.0,0,23,False,2,False,0.9773818657260983,0.5456682538506897,2.589375989255446
1.0,0,23,False,3,False,1.0010846038897363,0.6061265186047707,2.3876299864558423
1.0,0,23,False,4,False,0.9048236902936876,0.7709965239404237,1.696567215469948
1.0,0,23,False,5,False,1.043668743205645,0.8451441391756951,1.785218671582587
1.0,0,23,False,6,False,0.8992888899347922,1.1994486376584779,1.0838697612684118
1.0,0,23,False,7,False,1.0444110242900615,1.1991862084080631,1.259053978875051
1.0,0,23,False,8,False,0.9806261047214622,1.2103193783438106,1.1712861041938916
1.0,0,23,False,9,False,1.0943744985564208,1.5235092641922041,1.0384375708456668
1.0,0,24,False,0,True,1.0088717103765483,0.5550243321941595,2.623337949982654
1.0,0,24,False,1,False,1.0729708878906945,1.5178860646948322,1.0201853566916879
1.0,0,24,False,2,False,0.9767347347267539,0.5328035524965622,2.6456953938777223
1.0,0,24,False,3,False,0.9959251271620913,0.5773901928596545,2.4893594300380877
1.0,0,24,False,4,False,0.8945722773527793,0.7614360934044367,1.6955566195567755
1.0,0,24,False,5,False,1.0289197112728672,0.8743089350269666,1.6984270232234235
1.0,0,24,False,6,False,0.8978231117245096,1.2213109672203313,1.0609498223958778
1.0,0,24,False,7,False,1.0379875963065452,1.2035602937653034,1.2446711775535733
1.0,0,24,False,8,False,0.997524107977049,1.2418179141119157,1.1592999056890572
1.0,0,24,False,9,False,1.0886705253976943,1.514461654225838,1.0374531749088791
1.0,0,25,False,0,True,0.984285364560366,0.5777815697585073,2.4859610328902253
