alpha,seed,client_id,is_malicious,l2_bn1,l2_conv1,l2_layer1,l2_layer2,l2_layer3,l2_layer4,l2_linear,update_l2_to_global,l2_to_median,n_participations,n_local_samples
0.5,0,0,False,7.858578606046835,0.010795102933929747,9.701993039000282,18.321716186894108,23.050215063896875,35.7402515522218,0.014822524890438738,47.960819244384766,1.9967745542526245,90,500
0.5,0,1,False,7.8850922000732435,0.011441832637322366,9.57019686000767,18.31746087243838,23.02230773211506,35.8445988761731,0.016510203789447477,48.00151443481445,2.2133803367614746,104,500
0.5,0,2,False,7.875374848947088,0.01699101191186578,9.817130008697518,18.47118686002802,23.099313468457556,35.909450152735374,0.017593057181785353,48.193695068359375,2.2360355854034424,107,500
0.5,0,3,False,7.883126247880438,0.012677438583348143,9.790767010500886,18.506743022053108,23.063356716489444,35.882509373547066,0.019976624974361507,48.16600799560547,2.9040207862854004,97,500
0.5,0,4,False,7.8725237832296155,0.007009840198267914,9.447076263207995,18.01543596518222,22.939160429662444,35.79464889219872,0.008645128698854195,47.78323745727539,2.391733407974243,107,500
0.5,0,5,False,7.879460132801176,0.0035607992225437316,9.458364034655135,18.31218929848398,23.13772471481778,35.95945904028587,0.004032449596849532,48.11775588989258,2.430109739303589,109,500
0.5,0,6,False,7.874503268080462,0.008876121013027085,9.43345479897893,18.100484547074903,23.057077132773614,35.93771968669712,0.013988179986470381,47.97676086425781,2.927921772003174,98,500
0.5,0,7,True,7.88275692299191,0.008066493299011093,9.45784483002212,18.679710062542437,23.259814783378644,35.431031165080284,0.006107994982828409,47.9259147644043,4.251297473907471,89,500
0.5,0,8,True,7.894562675417302,0.005207151719598408,9.774316925114853,18.804979032848824,23.19260465388427,35.463512608177034,0.0075671420985884245,48.03169250488281,4.605463027954102,103,500
0.5,0,9,False,7.871229352563899,0.011621784341952941,10.043962022792421,18.556634209015435,23.09136861460715,35.86372991563129,0.016590755455733103,48.234779357910156,2.368165969848633,90,500
0.5,0,10,False,7.861180396735567,0.011130225697735202,9.865260216945774,18.564432093393545,23.124713930784115,35.86560056370456,0.015327747073970159,48.21663284301758,2.001857280731201,106,500
0.5,0,11,False,7.861682570623551,0.006919223625680461,9.666419122975736,18.293377048666866,23.030250791133685,35.77561818424747,0.009379544286190478,47.96015930175781,1.8692455291748047,96,500
0.5,0,12,False,7.860419997368666,0.005738571146421712,9.620555378212341,18.13004052122897,22.98891197821722,35.78465490277009,0.008634281956559723,47.87555694580078,2.1278114318847656,100,500
0.5,0,13,False,7.8689906895892445,0.009760736195427418,10.017272880664493,18.52366793647057,23.15395013614955,35.953988167513465,0.011055496948780719,48.3133659362793,2.0418312549591064,89,500
0.5,0,14,False,7.869384717812581,0.00856024313715205,9.568051273915126,18.234890691102624,23.112076046187315,35.840026377591585,0.011430921421649079,48.00684356689453,2.1136648654937744,95,500
0.5,0,15,False,7.859469799964035,0.004474658388780902,9.694901465268421,18.39426941526493,23.077404841748713,35.800237900453276,0.006025981348695503,48.04511642456055,1.8393317461013794,105,500
0.5,0,16,False,7.872316038865332,0.004421098771216079,9.50706043712076,18.299585613627723,23.147728222056493,35.90999939068058,0.006341568226624751,48.08924102783203,2.5627458095550537,105,500
0.5,0,17,False,7.8523634146240235,0.005768807392662097,9.840568034125951,18.434038013867777,23.16497932327607,35.93050377240048,0.0065960637303056615,48.22784423828125,2.394882917404175,119,500
0.5,0,18,False,7.876197049388697,0.004479658096717579,9.960761541122197,18.652664980952196,23.12864513623332,35.87627978112897,0.0060290798934149025,48.28264236450195,2.2407145500183105,83,500
0.5,0,19,False,7.869622539818992,0.008745254008875126,9.729802208239217,18.424798543488773,23.14409692146754,35.902080596534226,0.007924247383807707,48.17340850830078,1.9222674369812012,95,500
0.5,0,20,False,7.848667417143578,0.013411292934246559,9.651757230728279,18.405460913262104,23.088094031405234,36.03978388642821,0.0199017301649762,48.22277069091797,2.874940872192383,106,500
0.5,0,21,False,7.881925912512943,0.03093792482918879,9.704650596620423,18.48196295786178,23.136458377403137,35.84706271936244,0.040657598747290025,48.1463737487793,2.2924447059631348,93,500
0.5,0,22,False,7.8766423704906465,0.01062536075920548,9.483946496435163,18.421923041664556,23.085978577805417,35.813103176124514,0.014737796108398237,48.03005599975586,1.8377652168273926,111,500
0.5,0,23,False,7.867849792306179,0.004594846798887379,9.683854733850797,18.428927810347073,23.17538502615965,36.00499640173867,0.007061071834458293,48.25724411010742,2.221982955932617,97,500
0.5,0,24,False,7.872713149579547,0.00835431416732658,9.702686392732906,18.452211893984057,23.055919202615133,35.90955804957144,0.009955536767045416,48.142215728759766,1.9052098989486694,101,500
0.5,0,25,False,7.8536595917403345,0.005948129326076582,9.885635246395744,18.46935425182359,23.058080072665028,35.934958412221064,0.007132463789454751,48.20287322998047,2.076120376586914,110,500
0.5,0,26,False,7.8674250702279345,0.01273122222701576,9.540101333691117,18.38340321322443,23.01735404062083,35.83213899345056,0.017760039942565763,48.00613784790039,2.305204391479492,92,500
0.5,0,27,False,7.876218084237517,0.005121947439090883,9.532177462125723,18.205252084105886,23.043196436780303,35.855667548651084,0.005261164009821188,47.9681510925293,1.9473645687103271,105,500
0.5,0,28,False,7.845573134576407,0.008477390326891493,9.757828653744623,18.448399711980745,23.082179948799936,35.8361185886321,0.0120795252526195,48.10531234741211,2.2138242721557617,93,500
0.5,0,29,False,7.868827708506751,0.008015852691969985,9.407720594781296,18.16044738480298,23.106948169579482,35.86135587068523,0.01268682083611178,47.96028518676758,2.307109832763672,98,500
0.5,0,30,True,7.893958749072335,0.007003258236603627,9.726323354012619,18.902919941198263,23.263173492448836,35.48211321075931,0.009584058447892391,48.10808181762695,4.92492151260376,105,500
0.5,0,31,False,7.857225994064666,0.011518367691632456,9.95669587640378,18.551014630703314,23.094042624124363,35.7737138706731,0.018586812349048198,48.14658737182617,2.114826202392578,80,500
0.5,0,32,False,7.885086192431446,0.006405469107027378,9.415731833308843,18.337538196035876,23.09221979209434,35.886584799049466,0.006601177802102778,48.04362869262695,2.462353467941284,105,500
0.5,0,33,True,7.882921626429212,0.011068613468819214,9.710610706319187,18.76712402308668,23.173491334201277,35.39859083536071,0.01209526525058153,47.94482421875,4.299861907958984,80,500
0.5,0,34,False,7.849095120068138,0.002967657185679783,9.68548039399286,18.40184470343869,23.11554286365718,36.011660250741805,0.003643523423408894,48.220436096191406,2.381932020187378,103,500
