round,defense,tau,alpha,alpha_dirichlet,seed,n_malicious_in_round,n_selected,tpr,fpr,youden_j,n_excluded,influence_malicious_mean,influence_benign_mean,trim_survival_malicious_mean,trim_survival_benign_mean,mask_keep_ratio,zero_sign_ratio,effective_trim_n,malicious_rank_l2_mean,malicious_rank_norm_mean,malicious_rank_cos_mean,flame_n_clusters,flame_n_noise,flame_max_cluster_size,flame_fallback_triggered,clip_rate_malicious,clip_rate_benign,cos_to_others_malicious_mean,cos_to_others_benign_mean,precision
62,flame,,,0.5,0,0,10,,0.4,,4,,0.6,,,,,-1,,,,1,4,6,False,,0.5,,0.02694357507560058,0.0
63,flame,,,0.5,0,0,10,,0.4,,4,,0.6,,,,,-1,,,,1,4,6,False,,0.5,,0.034372370398768295,0.0
64,flame,,,0.5,0,0,10,,0.4,,4,,0.6,,,,,-1,,,,1,4,6,False,,0.5,,0.043777587754474614,0.0
65,flame,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,1,2,8,False,,0.5,,0.10435874329031032,0.0
66,flame,,,0.5,0,0,10,,0.4,,4,,0.6,,,,,-1,,,,1,4,6,False,,0.5,,0.03942304006680658,0.0
67,flame,,,0.5,0,0,10,,0.4,,4,,0.6,,,,,-1,,,,1,4,6,False,,0.5,,0.05635172500456913,0.0
68,flame,,,0.5,0,0,10,,0.4,,4,,0.6,,,,,-1,,,,1,4,6,False,,0.6,,0.057048878829543195,0.0
69,flame,,,0.5,0,0,10,,0.4,,4,,0.6,,,,,-1,,,,1,4,6,False,,0.5,,0.07164787605214498,0.0
70,flame,,,0.5,0,0,10,,0.2,,2,,0.8,,,,,-1,,,,1,2,8,False,,0.5,,0.04967437846248243,0.0
71,flame,,,0.5,0,0,10,,0.4,,4,,0.6,,,,,-1,,,,1,4,6,False,,0.5,,0.03155373968359587,0.0
72,flame,,,0.5,0,0,10,,0.4,,4,,0.6,,,,,-1,,,,1,4,6,False,,0.5,,0.0886232443225917,0.0
73,flame,,,0.5,0,0,10,,0.1,,1,,0.9,,,,,-1,,,,1,1,9,False,,0.5,,0.0453878827858611,0.0
74,flame,,,0.5,0,0,10,,0.3,,3,,0.7,,,,,-1,,,,1,3,7,False,,0.5,,0.021822606033261468,0.0
