round,defense,tau,alpha,alpha_dirichlet,seed,n_malicious_in_round,n_selected,tpr,fpr,precision,influence_malicious_mean,influence_benign_mean,trim_survival_malicious_mean,trim_survival_benign_mean,mask_keep_ratio,zero_sign_ratio,effective_trim_n,malicious_rank_l2_mean,malicious_rank_cos_mean,flame_n_clusters,flame_n_noise,flame_max_cluster_size,flame_fallback_triggered,clip_rate_malicious,clip_rate_benign
241,invariant,0.2,0.25,0.5,0,1,10,,,,0.1149254336433266,0.1413565119878522,0.3314039745322188,0.40762178060753124,0.34678351038349914,2.1031215632849696e-06,4,2.0,9.0,,,,,,
242,invariant,0.2,0.25,0.5,0,0,10,,,,,0.13919969486360542,,0.4,0.34799923715901354,2.1031215632849696e-06,4,,,,,,,,
243,invariant,0.2,0.25,0.5,0,1,10,,,,0.09872706521247096,0.1460163037797132,0.2795071018127274,0.4133880997985859,0.35321844980747247,1.7151671001547326e-06,4,3.0,7.0,,,,,,
244,invariant,0.2,0.25,0.5,0,0,10,,,,,0.14183835693525776,,0.4,0.35459589233814437,1.7764230680174015e-06,4,,,,,,,,
245,invariant,0.2,0.25,0.5,0,1,10,,,,0.12971338404528002,0.1396197528189918,0.37427457620058635,0.40285838042215705,0.34657278985405154,2.3889827466440917e-06,4,6.0,6.0,,,,,,
246,invariant,0.2,0.25,0.5,0,0,10,,,,,0.1404331450324881,,0.4,0.3510828625812203,1.9601909716054086e-06,4,,,,,,,,
247,invariant,0.2,0.25,0.5,0,1,10,,,,0.10301269154488954,0.14376959873092499,0.2949668829819078,0.4116703463353436,0.3492347700308036,1.8785163477885167e-06,4,2.0,4.0,,,,,,
248,invariant,0.2,0.25,0.5,0,0,10,,,,,0.13863810015024047,,0.4,0.3465952503756012,2.0827029073307465e-06,4,,,,,,,,
249,invariant,0.2,0.25,0.5,0,0,10,,,,,0.1378958411689926,,0.4,0.3447396029224814,1.9806096275596317e-06,4,,,,,,,,
250,invariant,0.2,0.25,0.5,0,3,10,,,,0.10963568542853563,0.15344152106176348,0.3125755235037107,0.437467632784124,0.3507494259294878,1.7355857561089555e-06,4,2.3333333333333335,2.0,,,,,,
251,invariant,0.2,0.25,0.5,0,1,10,,,,0.09184546696230447,0.14588767767169875,0.2615125486933898,0.4153874945896234,0.35120864150189834,1.4497245727498334e-06,4,2.0,5.0,,,,,,
252,invariant,0.2,0.25,0.5,0,0,10,,,,,0.13911524330257877,,0.39999999999999997,0.3477881082564469,1.9601909716054086e-06,4,,,,,,,,
253,invariant,0.2,0.25,0.5,0,1,10,,,,0.09160781402981688,0.1438298379028612,0.2643658516764329,0.4150704609248408,0.3465190887888919,1.9806096275596317e-06,4,1.0,8.0,,,,,,
254,invariant,0.2,0.25,0.5,0,1,10,,,,0.13079195125958828,0.14148741861319505,0.3725792151967072,0.40304675386703254,0.3510446796945859,1.9601909716054086e-06,4,7.0,7.0,,,,,,
255,invariant,0.2,0.25,0.5,0,1,10,,,,0.1243605852491228,0.14052142332717452,0.35811606862465245,0.4046537701528164,0.34726334879842335,1.7764230680174015e-06,4,4.0,5.0,,,,,,
256,invariant,0.2,0.25,0.5,0,1,10,,,,0.0980696593005977,0.1451658811344095,0.2792888263805768,0.41341235262438036,0.3511406473775708,1.7968417239716247e-06,4,1.0,8.0,,,,,,
257,invariant,0.2,0.25,0.5,0,2,10,,,,0.06684238073348941,0.1648977292576363,0.1840289561043818,0.45399276097390456,0.3632166488820173,2.001028283513855e-06,4,1.5,8.0,,,,,,
258,invariant,0.2,0.25,0.5,0,0,10,,,,,0.14004388377537683,,0.4,0.35010970943844205,2.062284251376524e-06,4,,,,,,,,
259,invariant,0.2,0.25,0.5,0,2,10,,,,0.11443386140311412,0.1452014639149135,0.3291925319990967,0.4177018670002258,0.3476198585313841,1.3476312929787184e-06,4,4.5,4.5,,,,,,
260,invariant,0.2,0.25,0.5,0,0,10,,,,,0.14049170573776484,,0.4,0.3512292643444121,2.0827029073307465e-06,4,,,,,,,,
261,invariant,0.2,0.25,0.5,0,1,10,,,,0.1171441085691417,0.14191730083328952,0.33604166385910145,0.4071064817934331,0.3485999540171868,1.7764230680174015e-06,4,2.0,7.0,,,,,,
262,invariant,0.2,0.25,0.5,0,0,10,,,,,0.1387124240579138,,0.4,0.3467810601447846,2.2256334990103075e-06,4,,,,,,,,
263,invariant,0.2,0.25,0.5,0,0,10,,,,,0.13706210660906973,,0.4,0.3426552665226743,1.7355857561089555e-06,4,,,,,,,,
264,invariant,0.2,0.25,0.5,0,1,10,,,,0.11376512162180163,0.1447863608421501,0.32117933256314163,0.40875785193742864,0.3542105923002882,1.8580976918342936e-06,4,1.0,9.0,,,,,,
265,invariant,0.2,0.25,0.5,0,1,10,,,,0.11536529294691962,0.14410572059428214,0.3267405576988338,0.40813993803346293,0.3530791945738647,2.143958875193416e-06,4,4.0,5.0,,,,,,
266,invariant,0.2,0.25,0.5,0,0,10,,,,,0.14290592594316837,,0.4,0.3572648148579209,2.205214843056085e-06,4,,,,,,,,
267,invariant,0.2,0.25,0.5,0,1,10,,,,0.10183594628738324,0.14216839243115306,0.294887862783365,0.4116791263574039,0.3453378695419401,2.1643775311476386e-06,4,3.0,2.0,,,,,,
268,invariant,0.2,0.25,0.5,0,2,10,,,,0.09254026591138971,0.15904222381132566,0.253984088149788,0.436503977962553,0.3643545805783462,1.6743297882462865e-06,4,1.5,7.0,,,,,,
269,invariant,0.2,0.25,0.5,0,0,10,,,,,0.13954869053117502,,0.4,0.3488717263279375,2.491076026415207e-06,4,,,,,,,,
270,invariant,0.2,0.25,0.5,0,2,10,,,,0.07949167766202281,0.15515243034586146,0.22708618428817096,0.4432284539279573,0.3500506995227343,1.6334924763378405e-06,4,1.5,5.5,,,,,,
271,invariant,0.2,0.25,0.5,0,2,10,,,,0.10319521403617453,0.14976906994102726,0.29388979888032263,0.4265275502799193,0.35113574690014177,1.8785163477885167e-06,4,2.5,3.0,,,,,,
