round,defense,tau,alpha,alpha_dirichlet,seed,n_malicious_in_round,n_selected,tpr,fpr,youden_j,n_excluded,influence_malicious_mean,influence_benign_mean,trim_survival_malicious_mean,trim_survival_benign_mean,mask_keep_ratio,zero_sign_ratio,effective_trim_n,malicious_rank_l2_mean,malicious_rank_norm_mean,malicious_rank_cos_mean,flame_n_clusters,flame_n_noise,flame_max_cluster_size,flame_fallback_triggered,clip_rate_malicious,clip_rate_benign,precision
150,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.13942242156275408,,0.4,0.3485560539068852,1.8989350037427396e-06,4,,,,,,,,,,
151,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1414745781607773,,0.4,0.3536864454019433,2.3277267787814227e-06,4,,,,,,,,,,
152,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14305277691679114,,0.39999999999999997,0.3576319422919778,2.1031215632849696e-06,4,,,,,,,,,,
153,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.13960765960957078,,0.4,0.349019149023927,1.9193536596969628e-06,4,,,,,,,,,,
154,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14079880232331637,,0.4,0.35199700580829085,2.348145434735646e-06,4,,,,,,,,,,
155,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14194379887460534,,0.4,0.3548594971865134,1.8172603799258476e-06,4,,,,,,,,,,
156,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14375983413517396,,0.4,0.35939958533793487,2.368564090689869e-06,4,,,,,,,,,,
157,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14126500107606316,,0.39999999999999997,0.3531625026901579,2.4502387145067606e-06,4,,,,,,,,,,
158,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14194771925654856,,0.4,0.3548692981413714,2.429820058552538e-06,4,,,,,,,,,,
159,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14192043993219372,,0.4,0.3548010998304843,2.2460521549645307e-06,4,,,,,,,,,,
160,invariant,0.2,0.25,0.5,0,1,10,,,,,0.1123594675223215,0.14133461349866105,0.3246513208215977,0.40837207546426696,0.3460927472525677,2.062284251376524e-06,4,1.0,1.0,2.0,,,,,,,
161,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14433670200319268,,0.39999999999999997,0.36084175500798166,2.143958875193416e-06,4,,,,,,,,,,
162,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.1400075385677783,,0.4,0.35001884641944575,2.143958875193416e-06,4,,,,,,,,,,
163,invariant,0.2,0.25,0.5,0,0,10,,,,,,0.14081276868398904,,0.39999999999999997,0.3520319217099726,2.0418655954223007e-06,4,,,,,,,,,,
