run_id,bad_client_num,poison_rate,seed,client_id,is_malicious,asr_std_filtered,asr_unfiltered,n_eligible,n_total
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,29,False,0.044,0.044,250,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,30,False,0.3026315789473684,0.332,228,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,31,True,1.0,1.0,206,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,32,False,0.5486725663716814,0.552,226,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,33,True,0.9834710743801653,0.98,242,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,34,True,1.0,0.996,214,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,35,True,0.9902439024390244,0.992,205,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,36,False,0.9311740890688259,0.932,247,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,37,False,0.6811594202898551,0.704,207,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,38,True,1.0,1.0,204,250
attack_a0.5_s0_e1_bad16_rho0p5_s0,16,0.5,0,39,True,0.9956709956709957,0.996,231,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,0,False,0.008368200836820083,0.016,239,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,1,True,1.0,1.0,249,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,2,False,0.16560509554140126,0.22,157,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,3,False,0.095,0.104,200,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,4,True,1.0,1.0,241,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,5,False,0.1782608695652174,0.172,230,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,6,True,1.0,1.0,235,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,7,True,1.0,1.0,173,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,8,False,0.0,0.0,240,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,9,False,0.02074688796680498,0.028,241,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,10,False,0.0,0.0,250,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,11,False,0.0041841004184100415,0.004,239,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,12,False,0.0,0.0,248,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,13,False,0.037037037037037035,0.036,243,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,14,False,0.013513513513513514,0.008,148,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,15,True,1.0,1.0,246,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,16,False,0.08898305084745763,0.084,236,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,17,True,1.0,1.0,216,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,18,False,0.004081632653061225,0.004,245,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,19,False,0.11409395973154363,0.26,149,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,20,False,0.0,0.0,246,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,21,True,1.0,1.0,148,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,22,False,0.004016064257028112,0.004,249,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,23,True,1.0,1.0,250,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,24,False,0.008264462809917356,0.008,242,250
attack_a0.5_s0_e1_bad16_rho1p0_s0,16,1.0,0,25,False,0.0,0.0,239,250
