run_id,round_from,round_to,kind,phase,span_rounds,scope,group,n_params,l2_delta,energy,energy_share,mean_abs_delta,l2_base,relative_displacement,cos_theta_delta
attack_a0.5_s0_e1b_persist_s0,100,150,bn_affine,mixed,50,layer,bn1,128,0.0,0.0,0.0,0.0,8.0,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,weight,mixed,50,layer,conv1,1728,0.4755484046585217,0.2261462851732651,0.008801220541995251,0.00893897111107149,5.3067514058974075,0.08961196187370742,0.5049789461608275
attack_a0.5_s0_e1b_persist_s0,100,150,bn_affine,mixed,50,layer,layer1.0.bn1,128,0.0,0.0,0.0,0.0,8.0,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,bn_affine,mixed,50,layer,layer1.0.bn2,128,0.0,0.0,0.0,0.0,8.0,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,weight,mixed,50,layer,layer1.0.conv1,36864,0.7445372723432414,0.554335749908314,0.021573784356074707,0.0029770672545781857,5.285294176179393,0.14086959921717143,0.22896673840020532
attack_a0.5_s0_e1b_persist_s0,100,150,weight,mixed,50,layer,layer1.0.conv2,36864,0.7983061295959891,0.6372926765505282,0.02480232382248626,0.003234478499246,5.204413057046298,0.15339023264403578,0.2102390454473346
attack_a0.5_s0_e1b_persist_s0,100,150,bn_affine,mixed,50,layer,layer1.1.bn1,128,0.0,0.0,0.0,0.0,8.0,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,bn_affine,mixed,50,layer,layer1.1.bn2,128,0.0,0.0,0.0,0.0,8.0,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,weight,mixed,50,layer,layer1.1.conv1,36864,0.6840700265224108,0.4679518011863718,0.018211871143979624,0.002768718628469625,5.013128338321384,0.13645571793828593,0.19823978482137752
attack_a0.5_s0_e1b_persist_s0,100,150,weight,mixed,50,layer,layer1.1.conv2,36864,0.6888110553027537,0.4744606699072932,0.018465185006941526,0.002829833807339812,4.996847179316245,0.13784913378059496,0.1825555506367309
attack_a0.5_s0_e1b_persist_s0,100,150,bn_affine,mixed,50,layer,layer2.0.bn1,256,0.0,0.0,0.0,0.0,11.313708498984761,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,bn_affine,mixed,50,layer,layer2.0.bn2,256,0.0,0.0,0.0,0.0,11.313708498984761,0.0,nan
attack_a0.5_s0_e1b_persist_s0,100,150,weight,mixed,50,layer,layer2.0.conv1,73728,0.8258042365672718,0.6819526371324546,0.026540411901966314,0.0023790992060154273,6.83520093387377,0.12081638046290132,0.14617154677738406
attack_a0.5_s0_e1b_persist_s0,100,150,weight,mixed,50,layer,layer2.0.conv2,147456,1.2139792198613117,1.4737455462550788,0.057355616367682036,0.0024873887730129294,6.96717699515556,0.1742426266342049,0.14544528656418132
