run_id,round_from,round_to,kind,phase,span_rounds,bin,x_low,x_high,count,x_mean,y_mean,y_median,y_std
attack_a0.5_s0_e1b_persist_s0,150,200,segment,attack,50,2,0.0034162467811256654,0.005131092155352236,1117396,0.004273769978714302,0.000823608369113229,0.0005048410966992378,0.0009598736974717743
attack_a0.5_s0_e1b_persist_s0,150,200,segment,attack,50,3,0.005131092155352236,0.006846086494624616,1117396,0.005988202840188865,0.0008228397635392139,0.0005038883537054062,0.0009587624527406717
attack_a0.5_s0_e1b_persist_s0,150,200,segment,attack,50,4,0.006846086494624616,0.008562076836824417,1117395,0.007704412451209948,0.0008206349538147314,0.0005026902072131634,0.000956378537984294
attack_a0.5_s0_e1b_persist_s0,150,200,segment,attack,50,5,0.008562076836824417,0.010291044786572457,1117397,0.00942541324753662,0.0008198075429387904,0.0005009816959500313,0.0009571225211751902
attack_a0.5_s0_e1b_persist_s0,150,200,segment,attack,50,6,0.010291044786572457,0.012072709761559965,1117396,0.011174190917195476,0.0008222509184992059,0.0004989770241081715,0.0009658673185735113
attack_a0.5_s0_e1b_persist_s0,150,200,segment,attack,50,7,0.012072709761559965,0.01409521121531725,1117396,0.013043644944736685,0.0008541328609735605,0.0005136327818036079,0.0009991495824370827
attack_a0.5_s0_e1b_persist_s0,150,200,segment,attack,50,8,0.01409521121531725,0.017714514955878266,1117396,0.015618774939866664,0.0011117624728726949,0.0007155630737543106,0.0011771387511484053
attack_a0.5_s0_e1b_persist_s0,150,200,segment,attack,50,9,0.017714514955878266,1.0,1117397,0.03055123949748726,0.0018835720192488716,0.0014218222349882126,0.0017477807894304134
attack_a0.5_s0_e1b_persist_s0,200,250,anchor,clean,50,0,0.0,0.0017076902673579754,1117397,0.0008496672033628957,0.0007296618804910395,0.0004317164421081543,0.0008690399998050444
attack_a0.5_s0_e1b_persist_s0,200,250,anchor,clean,50,1,0.0017076902673579754,0.0034237554762512447,1117396,0.0025659239490731733,0.0007324646440144103,0.00043494882993400097,0.0008694658178930739
attack_a0.5_s0_e1b_persist_s0,200,250,anchor,clean,50,2,0.0034237554762512447,0.005144833587110043,1117395,0.0042832127221308185,0.0007325516163302931,0.00043478095903992653,0.0008691706377822594
attack_a0.5_s0_e1b_persist_s0,200,250,anchor,clean,50,3,0.005144833587110043,0.006863995641469956,1117397,0.006004081258167459,0.0007324322200345457,0.0004349942319095135,0.0008682586487758161
attack_a0.5_s0_e1b_persist_s0,200,250,anchor,clean,50,4,0.006863995641469956,0.008591377176344395,1117396,0.007727925086427552,0.0007307108433117285,0.0004332305397838354,0.0008673882979328769
attack_a0.5_s0_e1b_persist_s0,200,250,anchor,clean,50,5,0.008591377176344395,0.010341065004467964,1117395,0.00946280133094241,0.0007310381990055018,0.00043172575533390045,0.0008708554185530956
attack_a0.5_s0_e1b_persist_s0,200,250,anchor,clean,50,6,0.010341065004467964,0.01216469313949347,1117397,0.011241914032791117,0.000736209074928435,0.00043127313256263733,0.0008809561668200373
attack_a0.5_s0_e1b_persist_s0,200,250,anchor,clean,50,7,0.01216469313949347,0.014299026876688006,1117396,0.013183780427322173,0.0007729412395600743,0.0004502078518271446,0.000917819773022108
attack_a0.5_s0_e1b_persist_s0,200,250,anchor,clean,50,8,0.014299026876688006,0.018141831643879416,1117396,0.01592323251026075,0.00101157678338393,0.0006459290161728859,0.0010726242443587356
attack_a0.5_s0_e1b_persist_s0,200,250,anchor,clean,50,9,0.018141831643879416,1.0,1117397,0.03142363890873834,0.0016686338829119296,0.0012799166142940521,0.0015110334964177324
attack_a0.5_s0_e1b_persist_s0,200,300,anchor,clean,100,0,0.0,0.0017076902673579754,1117397,0.0008496672033628957,0.0009755813385169088,0.0005866927094757557,0.0011427642765527934
attack_a0.5_s0_e1b_persist_s0,200,300,anchor,clean,100,1,0.0017076902673579754,0.0034237554762512447,1117396,0.0025659239490731733,0.0009800507939605888,0.0005910833133384585,0.001143900168563911
attack_a0.5_s0_e1b_persist_s0,200,300,anchor,clean,100,2,0.0034237554762512447,0.005144833587110043,1117395,0.0042832127221308185,0.0009784006096305287,0.0005898324307054281,0.0011420875151309069
attack_a0.5_s0_e1b_persist_s0,200,300,anchor,clean,100,3,0.005144833587110043,0.006863995641469956,1117397,0.006004081258167459,0.0009789027308349442,0.0005909251049160957,0.001140433841220069
attack_a0.5_s0_e1b_persist_s0,200,300,anchor,clean,100,4,0.006863995641469956,0.008591377176344395,1117396,0.007727925086427552,0.0009770385101507918,0.0005890745669603348,0.0011414101971949705
attack_a0.5_s0_e1b_persist_s0,200,300,anchor,clean,100,5,0.008591377176344395,0.010341065004467964,1117395,0.00946280133094241,0.0009755467106216261,0.0005863644182682037,0.0011417890305781958
attack_a0.5_s0_e1b_persist_s0,200,300,anchor,clean,100,6,0.010341065004467964,0.01216469313949347,1117397,0.011241914032791117,0.0009836143288264167,0.0005863159894943237,0.0011565875787826118
attack_a0.5_s0_e1b_persist_s0,200,300,anchor,clean,100,7,0.01216469313949347,0.014299026876688006,1117396,0.013183780427322173,0.0010312227772747034,0.000609890092164278,0.0012057466786518946
attack_a0.5_s0_e1b_persist_s0,200,300,anchor,clean,100,8,0.014299026876688006,0.018141831643879416,1117396,0.01592323251026075,0.001346811227306302,0.0008726869709789753,0.0014072959274228306
attack_a0.5_s0_e1b_persist_s0,200,300,anchor,clean,100,9,0.018141831643879416,1.0,1117397,0.03142363890873834,0.0022077624143832715,0.0016969889402389526,0.0020484861757232636
